band_khz,option,microphone_curve,mic_only_noise_db_spl,mic_only_delta_vs_im73a135_db,total_with_ambient_db_spl,total_delta_vs_im73a135_db,curve_uncertainty_db
20-32,B,IM73A135 analog estimate,18.80,+0.00,31.98,+0.00,5.0
20-32,B,SPV0142 analog fallback,28.00,+9.20,33.29,+1.31,5.0
20-32,C,ICS-41352 PDM,21.15,+2.34,32.12,+0.15,3.0
20-32,C proxy,ICS-41350 via ICS-41352 proxy,21.15,+2.34,32.12,+0.15,5.0
20-32,C proxy,SPH0641LU4H via ICS-41352 proxy,21.15,+2.34,32.12,+0.15,5.0
20-32,C,T5838 PDM,15.90,-2.90,31.87,-0.10,3.0
20-40,B,IM73A135 analog estimate,21.02,+0.00,34.19,+0.00,5.0
20-40,B,SPV0142 analog fallback,30.22,+9.20,35.50,+1.31,5.0
20-40,C,ICS-41352 PDM,26.45,+5.42,34.69,+0.49,3.0
20-40,C proxy,ICS-41350 via ICS-41352 proxy,26.45,+5.42,34.69,+0.49,5.0
20-40,C proxy,SPH0641LU4H via ICS-41352 proxy,26.45,+5.42,34.69,+0.49,5.0
20-40,C,T5838 PDM,18.66,-2.36,34.11,-0.09,3.0
